ID,rating,winery,category,varietal,title,region,subregion,subsubregion,country,price,vintage
5933,100,W. &amp; J. Graham's,Port/Sherry,Port,100pointsW. &amp; J. Graham's 2016 The Stone Terraces Vintage  (Port)Cellar Selection,Port,,,Portugal,230,2016.0
6126,100,Sattlerhof,Dessert,Sauvignon Blanc,Sattlerhof 2013 Trockenbeerenauslese Sauvignon Blanc (SÃ¼dsteiermark),SÃ¼dsteiermark,,,Austria,65,2013.0
6127,100,Kracher,Dessert,Muscat Ottonel,Kracher 2015 Zwischen den Seen Trockenbeerenauslese Nummer 8 Muscat Ottonel (Burgenland),Burgenland,,,Austria,130,2015.0
6128,100,Kracher,Dessert,Scheurebe,100pointsKracher 2015 Zwischen den Seen Trockenbeerenauslese Nummer 4 Scheurebe (Burgenland)Cellar Selection,Burgenland,,,Austria,100,2015.0
6129,100,Pol Roger,Sparkling,Champagne Blend,100pointsPol Roger 2008 CuvÃ©e Sir Winston Churchill Brut  (Champagne)Cellar Selection,Champagne,Champagne,,France,293,2008.0
6130,100,Heidi SchrÃ¶ck,Dessert,Welschriesling,Heidi SchrÃ¶ck 2015 Ruster Ausbruch Auf den FlÃ¼geln der MorgenrÃ¶te Welschriesling (Burgenland),Burgenland,,,Austria,80,2015.0
17752,100,Patricia Green Cellars,Red,Pinot Noir,Patricia Green Cellars 2016 Estate Vineyard Bonshaw Block Pinot Noir (Ribbon Ridge),Oregon,Willamette Valley,Ribbon Ridge,US,60,2016.0
19738,100,Ciacci Piccolomini d'Aragona,Red,Sangiovese,100pointsCiacci Piccolomini d'Aragona 2012 Vigna di Pianrosso Santa Caterina d'Oro Riserva  (Brunello di Montalcino)Cellar Selection,Tuscany,Brunello di Montalcino,,Italy,175,2012.0
19739,100,Le Chiuse,Red,Sangiovese,100pointsLe Chiuse 2013  Brunello di MontalcinoCellar Selection,Tuscany,Brunello di Montalcino,,Italy,79,2013.0
19753,100,Conti Costanti,Red,Sangiovese,100pointsConti Costanti 2012 Riserva  (Brunello di Montalcino)Cellar Selection,Tuscany,Brunello di Montalcino,,Italy,245,2012.0
20998,100,ChÃ¢teau Cheval Blanc,Red,Bordeaux-style Red Blend,100pointsChÃ¢teau Cheval Blanc 2015  Saint-Ã‰milionCellar Selection,Bordeaux,Saint-Ã‰milion,,France,800,2015.0
21057,100,ChÃ¢teau PÃ©trus,Red,Bordeaux-style Red Blend,100pointsChÃ¢teau PÃ©trus 2015  PomerolCellar Selection,Bordeaux,Pomerol,,France,3400,2015.0
21058,100,ChÃ¢teau Lafite Rothschild,Red,Bordeaux-style Red Blend,100pointsChÃ¢teau Lafite Rothschild 2015  PauillacCellar Selection,Bordeaux,Pauillac,,France,700,2015.0
21059,100,ChÃ¢teau Ausone,Red,Bordeaux-style Red Blend,100pointsChÃ¢teau Ausone 2015  Saint-Ã‰milionCellar Selection,Bordeaux,Saint-Ã‰milion,,France,1000,2015.0
21060,100,ChÃ¢teau Margaux,Red,Bordeaux-style Red Blend,100pointsChÃ¢teau Margaux 2015  MargauxCellar Selection,Bordeaux,Margaux,,France,1600,2015.0
28972,100,Louis Roederer,Sparkling,Champagne Blend,Louis Roederer 2008 Cristal Vintage Brut  (Champagne),Champagne,Champagne,,France,250,2008.0
28973,100,Salon,Sparkling,Chardonnay,Salon 2006 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne),Champagne,Champagne,,France,617,2006.0
40324,100,Casa Ferreirinha,Red,Portuguese Red,Casa Ferreirinha 2008 Barca-Velha Red (Douro),Douro,,,Portugal,450,2008.0
43734,100,ChÃ¢teau Haut-Brion,White,Bordeaux-style White Blend,ChÃ¢teau Haut-Brion 2014  Pessac-LÃ©ognan,Bordeaux,Pessac-LÃ©ognan,,France,848,2014.0
51132,100,Krug,Sparkling,Champagne Blend,Krug 2002 Brut  (Champagne),Champagne,Champagne,,France,259,2002.0
55116,100,Chambers Rosewood Vineyards,Dessert,Muscat,Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Victoria,Rutherglen,,Australia,350,
63776,100,Biondi Santi,Red,Sangiovese,Biondi Santi 2010 Riserva  (Brunello di Montalcino),Tuscany,Brunello di Montalcino,,Italy,550,2010.0
91851,100,Salon,Sparkling,Chardonnay,Salon 2002 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne),Champagne,Champagne,,France,480,2002.0
94783,100,Giuseppe Rinaldi,Red,Nebbiolo,Giuseppe Rinaldi 2010 Brunate  (Barolo),Piedmont,Barolo,,Italy,126,2010.0
94784,100,Paolo Scavino,Red,Nebbiolo,Paolo Scavino 2010 Bric dÃ«l Fiasc  (Barolo),Piedmont,Barolo,,Italy,100,2010.0
110096,100,Quinta do Noval,Port/Sherry,Port,Quinta do Noval 2011 Nacional Vintage  (Port),Port,,,Portugal,650,2011.0
118495,100,ChÃ¢teau LÃ©oville Las Cases,Red,Bordeaux-style Red Blend,ChÃ¢teau LÃ©oville Las Cases 2010  Saint-Julien,Bordeaux,Saint-Julien,,France,359,2010.0
118496,100,ChÃ¢teau Cheval Blanc,Red,Bordeaux-style Red Blend,ChÃ¢teau Cheval Blanc 2010  Saint-Ã‰milion,Bordeaux,Saint-Ã‰milion,,France,1500,2010.0
118497,100,Casanova di Neri,Red,Sangiovese Grosso,Casanova di Neri 2007 Cerretalto  (Brunello di Montalcino),Tuscany,Brunello di Montalcino,,Italy,270,2007.0
118498,100,ChÃ¢teau Lafite Rothschild,Red,Bordeaux-style Red Blend,ChÃ¢teau Lafite Rothschild 2010  Pauillac,Bordeaux,Pauillac,,France,1500,2010.0
119617,100,Giovanni Chiappini,Red,Red Blend,Giovanni Chiappini 2009 Guado de' Gemoli  (Bolgheri Superiore),Tuscany,Bolgheri Superiore,,Italy,195,2009.0
122734,100,ChÃ¢teau LÃ©oville Barton,Red,Bordeaux-style Red Blend,ChÃ¢teau LÃ©oville Barton 2010  Saint-Julien,Bordeaux,Saint-Julien,,France,150,2010.0
132354,100,VeritÃ©,Red,Bordeaux-style Red Blend,VeritÃ© 2007 La Muse Red (Sonoma County),California,Sonoma,Sonoma County,US,450,2007.0
143182,100,Cayuse,Red,Syrah,Cayuse 2008 Bionic Frog Syrah (Walla Walla Valley (WA)),Washington,Columbia Valley,Walla Walla Valley (WA),US,80,2008.0
154492,100,Cayuse,Red,Syrah,Cayuse 2007 En Chamberlin Vineyard Syrah (Walla Walla Valley (OR)),Oregon,Oregon Other,Walla Walla Valley (OR),US,65,2007.0
154493,100,Chambers Rosewood Vineyards,Dessert,Muscat,Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Victoria,Rutherglen,,Australia,300,
155863,100,Tenuta dell'Ornellaia,Red,Merlot,Tenuta dell'Ornellaia 2007 Masseto Merlot (Toscana),Tuscany,Toscana,,Italy,460,2007.0
157934,100,Krug,Sparkling,Chardonnay,Krug 1998 Clos du Mesnil Chardonnay (Champagne),Champagne,Champagne,,France,1400,1998.0
160036,100,ViÃ±a Sastre,Red,Tempranillo Blend,ViÃ±a Sastre 2006 Pesus  (Ribera del Duero),Northern Spain,Ribera del Duero,,Spain,750,2006.0
167944,100,Cardinale,Red,Cabernet Sauvignon,Cardinale 2006 Cabernet Sauvignon (Napa Valley),California,Napa,Napa Valley,US,200,2006.0
168823,100,Williams Selyem,Red,Pinot Noir,Williams Selyem 2007 Litton Estate Vineyard Pinot Noir (Russian River Valley),California,Sonoma,Russian River Valley,US,100,2007.0
171982,100,Charles Smith,Red,Syrah,Charles Smith 2006 Royal City Syrah (Columbia Valley (WA)),Washington,Columbia Valley,Columbia Valley (WA),US,80,2006.0
181650,100,Shafer,Red,Cabernet Sauvignon,Shafer 2004 Hillside Select Cabernet Sauvignon (Stags Leap District),California,Napa,Stags Leap District,US,215,2004.0
190855,100,ChÃ¢teau Latour,Red,Bordeaux-style Red Blend,ChÃ¢teau Latour 2005  Pauillac,Bordeaux,Pauillac,,France,2000,2005.0
190856,100,ChÃ¢teau PÃ©trus,Red,Bordeaux-style Red Blend,ChÃ¢teau PÃ©trus 2005  Pomerol,Bordeaux,Pomerol,,France,6000,2005.0
193014,100,Avignonesi,Dessert,Prugnolo Gentile,Avignonesi 1995 Occhio di Pernice  (Vin Santo di Montepulciano),Tuscany,Vin Santo di Montepulciano,,Italy,210,1995.0
204109,100,Taylor Fladgate,Port/Sherry,Port,Taylor Fladgate 2000 Vargellas Vinha Velha Vintage  (Port),Port,,,Portugal,270,2000.0
208924,100,Sloan,Red,Cabernet Blend,Sloan 2002 Red Wine Red (Rutherford),California,Napa,Rutherford,US,245,2002.0
