Wine Region,State or Country
Bordeaux,France
Saint Emilion,France
Beaujolais,France
Fleurie,France
Rhone Valley,France
Chateauneuf du Pape,France
Alsace,France
Colmar,France
Burgundy,France
Meursault,France
Champagne,France
Reims,France
Provence,France
Roussillon,France
Loire Valley,France
Chinon,France
Napa Valley,California
Yountville,California
Sonoma Valley,California
Healdsburg,California
Tuscany,Italy
Siena,Italy
Piedmont,Italy
Barolo,Italy
Priorat,Spain
Palisade,Colorado
